domain,success,elapsed_time,timestamp,timeout_used,browser,output_path,error
aarp.org,True,16.97,2025-11-11 14:07:13,30000,Chromium,screenshots/aarp.org.png,
github.com,True,18.87,2025-11-11 14:07:15,30000,Chromium,screenshots/github.com.png,
